Time,Velocity,GForce,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Apoapsis,Periapsis,OrbitalVelocity,
1,3,1.73,1.88,127.47,106.3,0,-0.1,84,0,175,
2,11,1.92,1.92,126.26,113.31,0,-0.1,97,0,175,
3,21,1.94,1.94,124.99,129.88,0,-0.1,129,0,176,
4,30,1.96,1.96,123.77,154.9,0,-0.1,178,0,177,
5,40,1.98,1.98,122.5,190.61,0,-0.1,249,0,179,
6,49,2,2,121.29,234.39,0,-0.1,337,0,182,
7,60,2.02,2.03,120.02,290.02,0,-0.1,449,0,185,
8,70,2.04,2.05,118.8,353.35,0,-0.1,579,0,188,
9,80,2.06,2.08,117.54,429.74,0,-0.1,737,0,192,
10,90,2.08,2.1,116.32,513.4,0,-0.1,911,0,197,
11,101,2.1,2.13,115.05,611.4,0,-0.1,1118,0,202,
12,112,2.12,2.16,113.83,716.24,0,-0.1,1342,0,208,
13,124,2.15,2.19,112.57,836.72,0,-0.1,1602,0,214,
14,135,2.17,2.21,111.35,963.61,0,-0.1,1879,0,221,
15,147,2.19,2.24,110.08,1107.51,0,-0.1,2198,0,228,
16,159,2.22,2.27,108.86,1257.37,0.01,-0.1,2533,0,236,
17,171,2.25,2.31,107.6,1425.7,0.01,-0.1,2915,0,244,
18,183,2.27,2.34,106.38,1599.53,0.01,-0.1,3315,0,253,
19,196,2.3,2.38,105.11,1793.35,0.01,-0.1,3766,0,262,
20,209,2.33,2.41,103.9,1992.21,0.01,-0.1,4236,0,272,
21,223,2.36,2.45,102.63,2212.65,0.01,-0.1,4763,0,282,
22,236,2.39,2.48,101.41,2437.66,0.02,-0.1,5310,0,293,
23,250,2.42,2.52,100.14,2685.92,0.02,-0.1,5922,0,305,
24,264,2.45,2.57,98.93,2938.24,0.02,-0.1,6552,0,316,
25,279,2.48,2.61,97.66,3215.55,0.02,-0.1,7256,0,328,
26,294,2.51,2.65,96.44,3496.42,0.03,-0.1,7981,0,341,
27,309,2.56,2.69,95.18,3804.16,0.03,-0.1,8789,0,354,
28,325,2.6,2.73,93.96,4115.03,0.03,-0.1,9621,0,368,
29,342,2.65,2.78,92.67,4461.69,0.04,-0.1,10570,0,383,
30,358,2.7,2.83,91.47,4797.49,0.04,-0.1,11509,0,397,
31,375,2.74,2.88,90.21,5171.42,0.05,-0.1,12576,0,413,
32,393,2.79,2.92,88.96,5555.58,0.05,-0.1,13694,0,429,
33,411,2.84,2.98,87.72,5957.61,0.05,-0.1,14889,0,445,
34,429,2.89,3.02,86.51,6369.43,0.06,-0.1,16141,0,462,
35,449,2.95,3.08,85.24,6817.34,0.07,-0.1,17534,0,480,
36,468,3,3.14,84.02,7266.77,0.07,-0.1,18965,0,498,
37,489,3.07,3.2,82.73,7764.78,0.08,-0.1,20591,0,518,
38,510,3.13,3.25,81.51,8254.52,0.08,-0.1,22232,0,538,
39,532,3.19,3.31,80.27,8775.35,0.09,-0.1,24023,0,558,
40,554,3.26,3.38,79.03,9318.16,0.1,-0.1,25938,0,579,
41,577,3.33,3.43,77.76,9895.14,0.11,-0.1,28030,0,602,
42,600,3.39,3.5,76.54,10472.32,0.11,-0.1,30178,0,624,
43,625,3.45,3.57,75.3,11084.98,0.12,-0.1,32517,0,647,
44,649,3.52,3.63,74.08,11709.24,0.13,-0.1,34965,0,671,
45,675,3.59,3.7,72.82,12384.77,0.14,-0.1,37687,0,696,
46,701,3.66,3.77,71.6,13059.26,0.15,-0.1,40484,0,721,
47,729,3.74,3.84,70.31,13803.11,0.16,-0.1,43662,0,748,
48,757,3.82,3.92,69.09,14531.27,0.17,-0.1,46871,0,775,
49,785,3.9,4,67.85,15302.31,0.18,-0.1,50376,0,803,
50,814,3.98,4.06,66.63,16086.17,0.2,-0.1,54054,0,831,
51,846,4.07,4.15,65.34,16949.5,0.21,-0.1,58244,0,862,
52,876,4.15,4.24,64.15,17776.02,0.22,-0.1,62394,0,891,
53,909,4.25,4.31,62.88,18686.24,0.24,-0.1,67127,0,924,
54,941,4.34,4.41,61.66,19592.78,0.25,-0.1,72014,0,955,
55,976,4.44,4.51,60.39,20570.59,0.26,-0.1,77486,0,990,
56,1011,4.54,4.59,59.15,21564.19,0.28,-0.1,83269,0,1024,
57,1047,4.64,4.7,57.91,22593.43,0.3,-0.1,89507,0,1060,
58,1084,4.75,4.81,56.69,23637.69,0.31,-0.1,96103,0,1096,
59,1123,4.86,4.91,55.43,24763.14,0.33,-0.1,103526,0,1135,
60,1162,4.98,5.03,54.21,25882.6,0.35,-0.1,111248,0,1173,
61,1204,5.1,5.15,52.92,27112.75,0.37,-0.1,120147,0,1215,
62,1244,5.23,5.26,51.72,28287.97,0.38,-0.1,129077,0,1255,
63,1289,5.36,5.4,50.43,29605.48,0.4,-0.1,139618,0,1299,
64,1299,0.03,0,30.47,30853.8,0.42,-0.1,143431,0,1310,
65,1290,0.03,0,30.47,32174.24,0.44,-0.1,143361,0,1300,
66,1284,0.58,0.8,30.45,33434.37,0.47,-0.1,143787,0,1294,
67,1283,0.79,0.81,30.37,34742.97,0.49,-0.1,145373,0,1293,
68,1282,0.79,0.81,30.29,35999.27,0.51,-0.1,146914,0,1292,
69,1281,0.8,0.81,30.21,37305.91,0.53,-0.1,148534,0,1291,
70,1280,0.8,0.81,30.13,38560.5,0.55,-0.1,150103,0,1290,
71,1279,0.8,0.81,30.05,39865.5,0.58,-0.1,151751,0,1289,
72,1279,0.81,0.82,29.97,41118.62,0.6,-0.1,153345,0,1289,
73,1278,0.81,0.82,29.89,42422.22,0.63,-0.1,155016,0,1288,
74,1277,0.81,0.82,29.81,43674.12,0.65,-0.1,156633,0,1287,
75,1277,0.82,0.82,29.73,44976.56,0.67,-0.1,158329,0,1287,
76,1276,0.82,0.82,29.66,46227.45,0.7,-0.1,159969,0,1287,
77,1276,0.82,0.83,29.58,47528.95,0.72,-0.1,161689,0,1286,
78,1276,0.82,0.83,29.5,48779.03,0.75,-0.1,163351,0,1286,
79,1275,0.83,0.83,29.42,50079.78,0.77,-0.1,165093,0,1286,
80,1275,0.83,0.83,29.34,51329.22,0.79,-0.1,166774,0,1286,
81,1275,0.83,0.84,29.26,52629.38,0.81,-0.1,168533,0,1286,
82,1275,0.84,0.84,29.18,53878.31,0.83,-0.1,170230,0,1285,
83,1274,0.84,0.84,29.1,55177.97,0.85,-0.1,172002,0,1285,
84,1274,0.84,0.84,29.03,56426.46,0.87,-0.1,173708,0,1286,
85,1274,0.84,0.85,28.94,57725.66,0.89,-0.1,175484,0,1286,
86,1274,0.85,0.85,28.87,58973.65,0.9,-0.1,177188,0,1286,
87,1273,0.85,0.85,28.79,60297.7,0.91,-0.1,178987,0,1286,
88,1273,0.85,0.85,28.71,61544.91,0.92,-0.1,180661,0,1286,
89,1272,0.85,0.85,28.63,62817,0.93,-0.1,182334,0,1286,
90,1271,0.86,0.86,28.55,64063,0.94,-0.1,183937,0,1285,
91,1270,0.86,0.86,28.47,65358.95,0.94,-0.1,185568,0,1285,
92,1269,0.86,0.86,28.39,66603,0.94,-0.1,187094,0,1285,
93,1268,0.86,0.86,28.31,67896.42,0.93,-0.11,188630,0,1284,
94,1266,0.87,0.87,28.24,69137.53,0.92,-0.11,190042,0,1283,
95,1264,0.87,0.87,28.16,70427.37,0.91,-0.11,191438,0,1282,
96,1262,0.87,0.87,28.08,71664.58,0.89,-0.11,192708,0,1281,
97,1259,0.87,0.87,28,72949.73,0.86,-0.11,193966,0,1280,
98,1257,0.88,0.88,27.92,74181.58,0.83,-0.11,195097,0,1278,
99,1253,0.88,0.88,27.84,75485.34,0.79,-0.11,196193,0,1276,
100,1250,0.88,0.88,27.76,76685.11,0.75,-0.11,197084,0,1273,
101,1245,0.88,0.88,27.68,77955.52,0.7,-0.11,197887,0,1270,
102,1241,0.89,0.89,27.6,79171.45,0.65,-0.11,198529,0,1267,
103,1236,0.89,0.89,27.52,80431.61,0.59,-0.11,199082,0,1263,
104,1230,0.89,0.89,27.45,81636.75,0.52,-0.11,199522,0,1259,
105,1224,0.89,0.89,27.37,82884.92,0.45,-0.11,199906,0,1255,
106,1218,0.9,0.9,27.29,84077.97,0.38,-0.11,200225,0,1250,
107,1212,0.9,0.9,27.21,85312.95,0.3,-0.11,200514,0,1246,
108,1206,0.9,0.9,27.13,86492.84,0.22,-0.11,200753,0,1241,
109,1200,0.9,0.9,27.05,87713.75,0.16,-0.11,200957,0,1236,
110,1194,0.91,0.91,26.97,88879.73,0.16,-0.11,201102,0,1232,
111,1187,0.91,0.91,26.89,90085.75,0.22,-0.11,201195,0,1227,
112,1180,0.91,0.91,26.81,91237.13,0.32,-0.11,201236,0,1222,
113,1173,0.91,0.92,26.73,92427.77,0.45,-0.11,201254,0,1216,
114,1167,0.92,0.92,26.66,93564.22,0.57,-0.11,201274,0,1212,
115,1160,0.92,0.92,26.57,94762.34,0.72,-0.11,201328,0,1207,
116,1155,0.92,0.92,26.5,95861.17,0.86,-0.11,201428,0,1202,
117,1149,0.93,0.93,26.42,97021.25,1.02,-0.11,201584,0,1198,
118,1143,0.93,0.93,26.34,98151.31,1.18,-0.12,201758,0,1195,
119,1138,0.93,0.93,26.26,99274.26,1.35,-0.12,201930,0,1191,
120,1132,0.93,0.93,26.18,100367.94,1.52,-0.12,202076,0,1187,
121,1127,0.94,0.94,26.1,101499.09,1.71,-0.12,202209,0,1183,
122,1121,0.95,0.94,26.02,102604.28,1.9,-0.12,202343,0,1180,
123,1116,0.95,0.94,25.94,103703.28,2.1,-0.12,202484,0,1177,
124,1111,0.95,0.95,25.86,104812.81,2.3,-0.12,202621,0,1173,
125,1106,0.96,0.95,25.78,105937.3,2.53,-0.12,202779,0,1170,
126,1101,0.95,0.95,25.71,106967.84,2.73,-0.12,202913,0,1167,
127,1096,0.95,0.95,25.63,108055.75,2.96,-0.12,203062,0,1164,
128,1092,0.96,0.96,25.54,109136.45,3.2,-0.12,203218,0,1161,
129,1087,0.96,0.96,25.47,110147.03,3.43,-0.12,203368,0,1159,
130,1083,0.96,0.96,25.39,111213.86,3.67,-0.12,203528,0,1156,
131,1079,0.97,0.97,25.31,112273.59,3.93,-0.12,203690,0,1154,
132,1075,0.97,0.97,25.23,113264.52,4.18,-0.12,203844,0,1152,
133,1071,0.97,0.97,25.15,114310.58,4.45,-0.12,204010,0,1150,
134,1067,0.97,0.98,25.07,115349.64,4.72,-0.12,204181,0,1148,
135,1063,0.98,0.98,25,116321.23,4.99,-0.12,204348,0,1146,
136,1060,0.98,0.98,24.91,117346.86,5.28,-0.12,204533,0,1145,
137,1056,0.98,0.99,24.83,118425.34,5.6,-0.13,204735,0,1143,
138,1053,0.99,0.99,24.76,119318.25,5.86,-0.13,204908,0,1142,
139,1050,0.99,0.99,24.68,120323.85,6.17,-0.13,205108,0,1141,
140,1047,0.99,0.99,24.6,121322.72,6.49,-0.13,205309,0,1140,
141,1044,1,1,24.52,122256.72,6.8,-0.13,205500,0,1139,
142,1042,1,1,24.44,123242.64,7.13,-0.13,205706,0,1139,
143,1039,1,1,24.36,124221.93,7.47,-0.13,205916,0,1138,
144,1037,1.01,1.01,24.28,125137.62,7.79,-0.13,206120,0,1138,
145,1035,1.01,1.01,24.2,126104.2,8.15,-0.13,206342,0,1138,
146,1033,1.01,1.01,24.12,127064.29,8.51,-0.13,206571,0,1138,
147,1031,1.02,1.02,24.05,127962.04,8.85,-0.13,206792,0,1138,
148,1029,1.02,1.02,23.97,128909.7,9.23,-0.13,207031,0,1138,
149,1028,1.02,1.02,23.89,129851,9.61,-0.13,207273,0,1138,
150,1026,1.03,1.03,23.81,130731.18,9.97,-0.13,207504,0,1139,
151,1025,1.03,1.03,23.73,131660.28,10.37,-0.13,207752,0,1140,
152,1024,1.03,1.03,23.65,132637.25,10.79,-0.13,208020,0,1141,
153,1023,1.04,1.04,23.57,133446.1,11.15,-0.14,208248,0,1142,
154,1022,1.04,1.04,23.49,134357.02,11.57,-0.14,208512,0,1143,
155,1022,1.04,1.04,23.41,135261.84,11.99,-0.14,208783,0,1144,
156,1021,1.05,1.05,23.33,136160.64,12.42,-0.14,209060,0,1146,
157,1021,1.05,1.05,23.26,137001.09,12.83,-0.14,209326,0,1148,
158,1021,1.05,1.06,23.18,137888.3,13.28,-0.14,209614,0,1150,
159,1021,1.05,1.06,23.1,138739.33,13.71,-0.14,209885,0,1151,
160,1021,1.04,1.06,23.02,139550.42,14.13,-0.14,210124,0,1153,
161,1022,1.07,1.07,22.95,140392.12,14.58,-0.14,210410,0,1156,
162,1022,1.07,1.07,22.87,141239.56,15.04,-0.14,210704,0,1158,
163,1023,1.07,1.07,22.79,142081.33,15.51,-0.14,210985,0,1161,
164,1024,1.08,1.08,22.71,142917.43,15.99,-0.14,211248,0,1163,
165,1025,1.08,1.08,22.63,143747.72,16.47,-0.14,211485,0,1166,
166,1026,1.08,1.08,22.55,144588.59,16.97,-0.14,211704,0,1169,
167,1026,1.09,1.09,22.47,145390.51,17.46,-0.14,211888,0,1171,
168,1027,1.09,1.09,22.39,146202.56,17.97,-0.15,212033,0,1174,
169,1028,1.1,1.1,22.31,147008,18.48,-0.15,212114,0,1176,
170,1028,1.1,1.1,22.23,147822.44,19.01,-0.15,212112,0,1179,
171,1029,1.1,1.1,22.16,148597.84,19.52,-0.15,212032,0,1181,
172,1029,1.11,1.11,22.08,149381.59,20.06,-0.15,211890,0,1183,
173,1029,1.11,1.11,22,150157.54,20.6,-0.15,211712,0,1185,
174,1029,1.12,1.12,21.92,150925.59,21.15,-0.15,211524,0,1187,
175,1029,1.12,1.12,21.84,151700.89,21.71,-0.15,211348,0,1189,
176,1030,1.12,1.12,21.76,152453.25,22.27,-0.15,211222,0,1192,
177,1032,1.13,1.13,21.68,153183.46,22.83,-0.15,211171,0,1195,
178,1034,1.13,1.13,21.6,153921.65,23.41,-0.15,211212,0,1199,
179,1036,1.14,1.14,21.53,154653.2,23.99,-0.15,211327,0,1203,
